,Geo Mean Stats,Skewness Stats
count,1000.0,1000.0
mean,0.00100402126298728,-0.0029210560111492543
std,0.0019335071814179374,0.2310562745046744
min,-0.005794977841712012,-0.7249647580199841
25%,-0.00026851690036358566,-0.1617765029327674
50%,0.0010306645779812884,-0.00739191123536817
75%,0.0022884874294001323,0.15035222777832447
max,0.007691291641511722,0.798501394479864
