"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2024","45,322.0","44,328.0","45,453.0","44,328.0","2.48K","2.24%"
"02/07/2024","44,328.0","43,101.0","44,351.0","42,788.0","1.74K","2.85%"
"02/06/2024","43,101.0","42,707.0","43,375.0","42,574.0","0.71K","0.92%"
"02/05/2024","42,707.0","42,583.0","43,540.0","42,247.0","1.04K","0.29%"
"02/04/2024","42,583.0","43,004.0","43,109.0","42,332.0","0.63K","-0.98%"
"02/03/2024","43,004.0","43,201.0","43,366.0","42,892.0","0.29K","-0.46%"
"02/02/2024","43,201.0","43,088.0","43,477.0","42,560.0","0.78K","0.26%"
"02/01/2024","43,088.0","42,594.0","43,272.0","41,880.0","0.94K","1.16%"
"01/31/2024","42,594.0","42,956.0","43,722.0","42,304.0","1.29K","-0.84%"
"01/30/2024","42,956.0","43,309.0","43,840.0","42,700.0","1.11K","-0.80%"
"01/29/2024","43,301.0","42,047.0","43,301.0","41,833.0","1.16K","2.98%"
"01/28/2024","42,047.0","42,125.0","42,808.0","41,637.0","0.94K","-0.19%"
"01/27/2024","42,125.0","41,821.0","42,204.0","41,405.0","0.47K","0.73%"
"01/26/2024","41,821.0","40,001.0","42,192.0","39,877.0","2.73K","4.55%"
"01/25/2024","40,001.0","40,140.0","40,333.0","39,556.0","2.30K","-0.35%"
"01/24/2024","40,140.0","39,938.0","40,590.0","39,533.0","1.88K","0.51%"
"01/23/2024","39,938.0","39,599.0","40,215.0","38,572.0","2.78K","0.86%"
"01/22/2024","39,599.0","41,679.0","41,775.0","39,461.0","3.15K","-4.99%"
"01/21/2024","41,679.0","41,778.0","41,945.0","41,588.0","1.24K","-0.24%"
"01/20/2024","41,778.0","41,714.0","41,942.0","41,525.0","1.51K","0.14%"
"01/19/2024","41,719.0","41,337.0","42,212.0","40,364.0","1.55K","0.92%"
"01/18/2024","41,337.0","42,778.0","42,932.0","40,704.0","1.38K","-3.37%"
"01/17/2024","42,778.0","43,163.0","43,215.0","42,237.0","0.80K","-0.89%"
"01/16/2024","43,163.0","42,508.0","43,588.0","42,107.0","0.70K","1.54%"
"01/15/2024","42,508.0","41,737.0","43,359.0","41,705.0","0.93K","1.85%"
"01/14/2024","41,737.0","42,847.0","43,075.0","41,719.0","1.10K","-2.59%"
"01/13/2024","42,847.0","42,831.0","43,250.0","42,441.0","1.04K","0.04%"
"01/12/2024","42,831.0","46,377.0","46,508.0","41,574.0","3.78K","-7.65%"
"01/11/2024","46,377.0","46,636.0","48,750.0","45,650.0","5.42K","-0.56%"
"01/10/2024","46,636.0","46,113.0","47,572.0","44,352.0","5.05K","1.13%"
"01/09/2024","46,113.0","46,941.0","47,845.0","45,133.0","3.87K","-1.76%"
"01/08/2024","46,941.0","43,960.0","47,205.0","43,244.0","3.83K","6.78%"
"01/07/2024","43,960.0","44,005.0","44,500.0","43,638.0","0.57K","-0.10%"
"01/06/2024","44,005.0","44,189.0","44,263.0","43,461.0","0.74K","-0.42%"
"01/05/2024","44,189.0","44,221.0","44,415.0","42,746.0","1.89K","-0.07%"
"01/04/2024","44,221.0","42,869.0","44,798.0","42,673.0","1.85K","3.15%"
"01/03/2024","42,869.0","44,991.0","45,559.0","40,499.0","4.19K","-4.72%"
"01/02/2024","44,991.0","44,175.0","45,892.0","44,175.0","3.10K","1.85%"
"01/01/2024","44,175.0","42,323.0","44,190.0","42,232.0","1.16K","4.38%"
"12/31/2023","42,323.0","42,199.0","42,938.0","42,023.0","0.66K","0.29%"
"12/30/2023","42,199.0","42,139.0","42,664.0","41,585.0","0.67K","0.14%"
"12/29/2023","42,139.0","42,617.0","43,168.0","41,433.0","1.64K","-1.12%"
"12/28/2023","42,617.0","43,476.0","43,793.0","42,388.0","1.09K","-1.98%"
"12/27/2023","43,476.0","42,568.0","43,666.0","42,178.0","1.02K","2.13%"
"12/26/2023","42,568.0","43,641.0","43,649.0","41,772.0","1.99K","-2.46%"
