"Summary","Value"
"Min.Min.",0.0431696995320177
"1st Qu..1st Qu.",0.0510072635018462
"Median.Median",0.0554917191830401
"Mean.Mean",0.05548608317492
"3rd Qu..3rd Qu.",0.0594210209006733
"Max.Max.",0.074985223159504
