PERMNO,date,TICKER,PRC,RET,OPENPRC
10107,2018-12-31,MSFT,101.57000,0.011754,101.29000
10107,2019-01-02,MSFT,101.12000,-0.004430,99.55000
10107,2019-01-03,MSFT,97.40000,-0.036788,100.10000
10107,2019-01-04,MSFT,101.93000,0.046509,99.72000
10107,2019-01-07,MSFT,102.06000,0.001275,101.64000
10107,2019-01-08,MSFT,102.80000,0.007251,103.04000
10107,2019-01-09,MSFT,104.27000,0.014300,103.86000
10107,2019-01-10,MSFT,103.60000,-0.006426,103.22000
10107,2019-01-11,MSFT,102.80000,-0.007722,103.19000
10107,2019-01-14,MSFT,102.05000,-0.007296,101.90000
10107,2019-01-15,MSFT,105.01000,0.029005,102.51000
10107,2019-01-16,MSFT,105.38000,0.003523,105.26000
10107,2019-01-17,MSFT,106.12000,0.007022,105.00000
10107,2019-01-18,MSFT,107.71000,0.014983,107.46000
10107,2019-01-22,MSFT,105.68000,-0.018847,106.75000
10107,2019-01-23,MSFT,106.71000,0.009746,106.12000
10107,2019-01-24,MSFT,106.20000,-0.004779,106.86000
10107,2019-01-25,MSFT,107.17000,0.009134,107.24000
10107,2019-01-28,MSFT,105.08000,-0.019502,106.26000
10107,2019-01-29,MSFT,102.94000,-0.020365,104.88000
10107,2019-01-30,MSFT,106.38000,0.033417,104.62000
10107,2019-01-31,MSFT,104.43000,-0.018330,103.80000
10107,2019-02-01,MSFT,102.78000,-0.015800,103.77500
10107,2019-02-04,MSFT,105.74000,0.028799,102.87000
10107,2019-02-05,MSFT,107.22000,0.013997,106.06000
10107,2019-02-06,MSFT,106.03000,-0.011099,107.00000
10107,2019-02-07,MSFT,105.27000,-0.007168,105.18500
10107,2019-02-08,MSFT,105.67000,0.003800,104.39000
10107,2019-02-11,MSFT,105.25000,-0.003975,106.20000
10107,2019-02-12,MSFT,106.89000,0.015582,106.14000
10107,2019-02-13,MSFT,106.81000,-0.000748,107.50000
10107,2019-02-14,MSFT,106.90000,0.000843,106.31000
10107,2019-02-15,MSFT,108.22000,0.012348,107.91000
10107,2019-02-19,MSFT,108.17000,-0.000462,107.79000
10107,2019-02-20,MSFT,107.15000,-0.005177,107.86000
10107,2019-02-21,MSFT,109.41000,0.021092,106.90000
10107,2019-02-22,MSFT,110.97000,0.014258,110.05000
10107,2019-02-25,MSFT,111.59000,0.005587,111.76000
10107,2019-02-26,MSFT,112.36000,0.006900,111.26000
10107,2019-02-27,MSFT,112.17000,-0.001691,111.69000
10107,2019-02-28,MSFT,112.03000,-0.001248,112.04000
10107,2019-03-01,MSFT,112.53000,0.004463,112.89000
10107,2019-03-04,MSFT,112.26000,-0.002399,113.02000
